全国地方公共団体コード,識別値,種別,種別小分類,name,施設名称（カナ）,通称,住所表記,郵便番号,lat,lon,description,連絡先名称,電話番号,Webサイト
23230,SF001,障がい者福祉,特定非営利活動法人,尾張東部成年後見センター,オワリトウブセイネンコウケンセンター,,愛知県日進市竹の山四丁目301　（日進市障害者福祉センター内）,4700136,35.15201565,137.0343415,日進市、瀬戸市、尾張旭市、豊明市、長久手市、東郷町の5市1町が共同で設置している成年後見制度に関する相談窓口です。,尾張東部成年後見センター,0561-75-5008,http://owaritoubu-kouken.net/
23230,SF002,障がい者福祉,社会福祉協議会,日進市社会福祉協議会,ニッシンシシャカイフクシキョウギカイ,,愛知県日進市蟹甲町中島22　（日進市中央福祉センター内）,4700122,35.132729,137.041578,社協は地域の民間福祉活動の拠点として、地域福祉を総合的・計画的に推進することを目的に設立された民間非営利組織です。,日進市社会福祉協議会,0561-73-4885,http://nisshin-shakyo.or.jp/
23230,SF003,障がい者福祉,福祉施設,日進市中央福祉センター,ニッシンシチュウオウフクシセンター,,愛知県日進市蟹甲町中島22,4700122,35.132729,137.041578,「老人デイサービスセンター」「身体障害者デイサービスセンター」「地域包括支援センター」「ボランティアセンター」「休日急病診療所」を併設する住民福祉の総合拠点です。,中央福祉センター,0561-73-4885,http://www.city.nisshin.lg.jp/fukushi/shogai/chuoufukushicenter.html
23230,SF004,障がい者福祉,訪問系サービス,あい工房,アイコウボウ,,愛知県日進市蟹甲町中島40-2,4700122,35.133070,137.040824,居宅介護、重度訪問介護、同行援護、移動支援サービス事業所です。,あい工房,0561-41-9080,
23230,SF005,障がい者福祉,訪問系サービス,ヘルパーサービス あんじゅの森,ヘルパーサービスアンジュノモリ,,愛知県日進市岩崎台二丁目1304,4700135,35.160226,137.036018,居宅介護、重度訪問介護、同行援護、移動支援サービス事業所です。,ヘルパーサービス あんじゅの森,0561-73-0327,
23230,SF006,障がい者福祉,訪問系サービス,サンライフヘルパーステーション,サンライフヘルパーステーション,,愛知県日進市米野木町追鳥47-1,4700111,35.133306,137.056940,居宅介護、重度訪問介護、同行援護、移動支援サービス事業所です。,サンライフヘルパーステーション,0561-72-8461,
23230,SF007,障がい者福祉,訪問系サービス,健やかネットワーク,スコヤカネットワーク,,愛知県日進市岩崎台二丁目201 グレイス岩崎103号,4700135,35.148802,137.025652,居宅介護、重度訪問介護、同行援護、移動支援サービス事業所です。,健やかネットワーク,0561-56-5155,
23230,SF008,障がい者福祉,訪問系サービス,ニチイケアセンター浅田,ニチイケアセンターアサダ,,愛知県日進市浅田平子一丁目110,4700128,35.120931,137.027117,居宅介護、重度訪問介護、同行援護、移動支援サービス事業所です。,ニチイケアセンター浅田,052-800-4551,
23230,SF009,障がい者福祉,訪問系サービス,ふれあいホームヘルプサービス,フレアイホームヘルプサービス,,愛知県日進市蟹甲町中島22,4700122,35.132674,137.041481,居宅介護、重度訪問介護、同行援護、移動支援サービス事業所です。,ふれあいホームヘルプサービス,0561-73-4688,
23230,SF010,障がい者福祉,訪問系サービス,ハートピースケア,ハートピースケア,,愛知県日進市岩崎台一丁目2012,4700135,35.148328,137.020969,居宅介護、重度訪問介護サービス事業所です。,ハートピースケア,0561-74-3550,
23230,SF011,障がい者福祉,居住系サービス,上ノ山ホーム,ウエノヤマホーム,,愛知県日進市浅田町上ノ山12-1,4700124,35.124530,137.026708,共同生活援助サービス事業所です。,上ノ山ホーム,052-808-4878,
23230,SF012,障がい者福祉,居住系サービス,日進の丘,ニッシンノオカ,,愛知県日進市梅森町新田135-171,4700132,35.134394,137.018100,共同生活援助、短期入所サービス事業所です。,日進の丘,052-800-0202,
23230,SF013,障がい者福祉,居住系サービス,モチロホーム,モチロホーム,,愛知県日進市赤池町モチロ61-141,4700126,35.115712,137.021614,共同生活援助サービス事業所です。,モチロホーム,0561-75-5506,
23230,SF014,障がい者福祉,居住系サービス,レジデンス日進,レジデンスニッシン,,愛知県日進市浅田町上納58-4,4700124,35.127492,137.032600,施設入所支援、生活介護、短期入所、就労継続支援（B型）、日中一時支援サービス事業所です。,レジデンス日進,052-805-1003,
23230,SF015,障がい者福祉,居住系サービス,エル・コンフォート梅森,エルコンフォートウメモリ,,愛知県日進市梅森町新田134-136,4700132,35.139339,137.022131,短期入所サービス事業所です。,エルコンフォート梅森,0561-73-5251,
23230,SF016,障がい者福祉,日中活動系サービス,指定生活介護事業所「愛歩」,シテイセイカツカイゴジギョウショ　アユミ,,愛知県日進市蟹甲町中島18,4700122,35.132465,137.041820,生活介護サービス事業所です。,指定生活介護事業所「 愛歩」,0561-75-5506,
23230,SF017,障がい者福祉,日中活動系サービス,あるく日進,アルクニッシン,,愛知県日進市赤池四丁目102,4700125,35.119304,137.012437,就労移行支援、就労継続支援（B型）サービス事業所です。,あるく日進,052-918-2124,
23230,SF018,障がい者福祉,日中活動系サービス,エール,エール,,愛知県日進市浅田町森下70,4700124,35.129360,137.027367,就労継続支援（A型）サービス事業所です。,エール,052-801-7003,
